Grid Name,"Min Latitude, Min Longitude","Max Latitude, Max Longitude"
AA,"(32.0, 124.0)","(32.26923076923077, 124.3076923076923)"
AB,"(32.0, 124.3076923076923)","(32.26923076923077, 124.61538461538461)"
AC,"(32.0, 124.61538461538461)","(32.26923076923077, 124.92307692307692)"
AD,"(32.0, 124.92307692307692)","(32.26923076923077, 125.23076923076923)"
AE,"(32.0, 125.23076923076923)","(32.26923076923077, 125.53846153846153)"
AF,"(32.0, 125.53846153846153)","(32.26923076923077, 125.84615384615384)"
AG,"(32.0, 125.84615384615384)","(32.26923076923077, 126.15384615384616)"
AH,"(32.0, 126.15384615384616)","(32.26923076923077, 126.46153846153847)"
AI,"(32.0, 126.46153846153847)","(32.26923076923077, 126.76923076923077)"
AJ,"(32.0, 126.76923076923077)","(32.26923076923077, 127.07692307692308)"
AK,"(32.0, 127.07692307692308)","(32.26923076923077, 127.38461538461539)"
AL,"(32.0, 127.38461538461539)","(32.26923076923077, 127.6923076923077)"
AM,"(32.0, 127.6923076923077)","(32.26923076923077, 128.0)"
AN,"(32.0, 128.0)","(32.26923076923077, 128.30769230769232)"
AO,"(32.0, 128.30769230769232)","(32.26923076923077, 128.6153846153846)"
AP,"(32.0, 128.6153846153846)","(32.26923076923077, 128.92307692307693)"
AQ,"(32.0, 128.92307692307693)","(32.26923076923077, 129.23076923076923)"
AR,"(32.0, 129.23076923076923)","(32.26923076923077, 129.53846153846155)"
AS,"(32.0, 129.53846153846155)","(32.26923076923077, 129.84615384615384)"
AT,"(32.0, 129.84615384615384)","(32.26923076923077, 130.15384615384616)"
AU,"(32.0, 130.15384615384616)","(32.26923076923077, 130.46153846153845)"
AV,"(32.0, 130.46153846153845)","(32.26923076923077, 130.76923076923077)"
AW,"(32.0, 130.76923076923077)","(32.26923076923077, 131.07692307692307)"
AX,"(32.0, 131.07692307692307)","(32.26923076923077, 131.3846153846154)"
AY,"(32.0, 131.3846153846154)","(32.26923076923077, 131.69230769230768)"
AZ,"(32.0, 131.69230769230768)","(32.26923076923077, 132.0)"
BA,"(32.26923076923077, 124.0)","(32.53846153846154, 124.3076923076923)"
BB,"(32.26923076923077, 124.3076923076923)","(32.53846153846154, 124.61538461538461)"
BC,"(32.26923076923077, 124.61538461538461)","(32.53846153846154, 124.92307692307692)"
BD,"(32.26923076923077, 124.92307692307692)","(32.53846153846154, 125.23076923076923)"
BE,"(32.26923076923077, 125.23076923076923)","(32.53846153846154, 125.53846153846153)"
BF,"(32.26923076923077, 125.53846153846153)","(32.53846153846154, 125.84615384615384)"
BG,"(32.26923076923077, 125.84615384615384)","(32.53846153846154, 126.15384615384616)"
BH,"(32.26923076923077, 126.15384615384616)","(32.53846153846154, 126.46153846153847)"
BI,"(32.26923076923077, 126.46153846153847)","(32.53846153846154, 126.76923076923077)"
BJ,"(32.26923076923077, 126.76923076923077)","(32.53846153846154, 127.07692307692308)"
BK,"(32.26923076923077, 127.07692307692308)","(32.53846153846154, 127.38461538461539)"
BL,"(32.26923076923077, 127.38461538461539)","(32.53846153846154, 127.6923076923077)"
BM,"(32.26923076923077, 127.6923076923077)","(32.53846153846154, 128.0)"
BN,"(32.26923076923077, 128.0)","(32.53846153846154, 128.30769230769232)"
BO,"(32.26923076923077, 128.30769230769232)","(32.53846153846154, 128.6153846153846)"
BP,"(32.26923076923077, 128.6153846153846)","(32.53846153846154, 128.92307692307693)"
BQ,"(32.26923076923077, 128.92307692307693)","(32.53846153846154, 129.23076923076923)"
BR,"(32.26923076923077, 129.23076923076923)","(32.53846153846154, 129.53846153846155)"
BS,"(32.26923076923077, 129.53846153846155)","(32.53846153846154, 129.84615384615384)"
BT,"(32.26923076923077, 129.84615384615384)","(32.53846153846154, 130.15384615384616)"
BU,"(32.26923076923077, 130.15384615384616)","(32.53846153846154, 130.46153846153845)"
BV,"(32.26923076923077, 130.46153846153845)","(32.53846153846154, 130.76923076923077)"
BW,"(32.26923076923077, 130.76923076923077)","(32.53846153846154, 131.07692307692307)"
BX,"(32.26923076923077, 131.07692307692307)","(32.53846153846154, 131.3846153846154)"
BY,"(32.26923076923077, 131.3846153846154)","(32.53846153846154, 131.69230769230768)"
BZ,"(32.26923076923077, 131.69230769230768)","(32.53846153846154, 132.0)"
CA,"(32.53846153846154, 124.0)","(32.80769230769231, 124.3076923076923)"
CB,"(32.53846153846154, 124.3076923076923)","(32.80769230769231, 124.61538461538461)"
CC,"(32.53846153846154, 124.61538461538461)","(32.80769230769231, 124.92307692307692)"
CD,"(32.53846153846154, 124.92307692307692)","(32.80769230769231, 125.23076923076923)"
CE,"(32.53846153846154, 125.23076923076923)","(32.80769230769231, 125.53846153846153)"
CF,"(32.53846153846154, 125.53846153846153)","(32.80769230769231, 125.84615384615384)"
CG,"(32.53846153846154, 125.84615384615384)","(32.80769230769231, 126.15384615384616)"
CH,"(32.53846153846154, 126.15384615384616)","(32.80769230769231, 126.46153846153847)"
CI,"(32.53846153846154, 126.46153846153847)","(32.80769230769231, 126.76923076923077)"
CJ,"(32.53846153846154, 126.76923076923077)","(32.80769230769231, 127.07692307692308)"
CK,"(32.53846153846154, 127.07692307692308)","(32.80769230769231, 127.38461538461539)"
CL,"(32.53846153846154, 127.38461538461539)","(32.80769230769231, 127.6923076923077)"
CM,"(32.53846153846154, 127.6923076923077)","(32.80769230769231, 128.0)"
CN,"(32.53846153846154, 128.0)","(32.80769230769231, 128.30769230769232)"
CO,"(32.53846153846154, 128.30769230769232)","(32.80769230769231, 128.6153846153846)"
CP,"(32.53846153846154, 128.6153846153846)","(32.80769230769231, 128.92307692307693)"
CQ,"(32.53846153846154, 128.92307692307693)","(32.80769230769231, 129.23076923076923)"
CR,"(32.53846153846154, 129.23076923076923)","(32.80769230769231, 129.53846153846155)"
CS,"(32.53846153846154, 129.53846153846155)","(32.80769230769231, 129.84615384615384)"
CT,"(32.53846153846154, 129.84615384615384)","(32.80769230769231, 130.15384615384616)"
CU,"(32.53846153846154, 130.15384615384616)","(32.80769230769231, 130.46153846153845)"
CV,"(32.53846153846154, 130.46153846153845)","(32.80769230769231, 130.76923076923077)"
CW,"(32.53846153846154, 130.76923076923077)","(32.80769230769231, 131.07692307692307)"
CX,"(32.53846153846154, 131.07692307692307)","(32.80769230769231, 131.3846153846154)"
CY,"(32.53846153846154, 131.3846153846154)","(32.80769230769231, 131.69230769230768)"
CZ,"(32.53846153846154, 131.69230769230768)","(32.80769230769231, 132.0)"
DA,"(32.80769230769231, 124.0)","(33.07692307692308, 124.3076923076923)"
DB,"(32.80769230769231, 124.3076923076923)","(33.07692307692308, 124.61538461538461)"
DC,"(32.80769230769231, 124.61538461538461)","(33.07692307692308, 124.92307692307692)"
DD,"(32.80769230769231, 124.92307692307692)","(33.07692307692308, 125.23076923076923)"
DE,"(32.80769230769231, 125.23076923076923)","(33.07692307692308, 125.53846153846153)"
DF,"(32.80769230769231, 125.53846153846153)","(33.07692307692308, 125.84615384615384)"
DG,"(32.80769230769231, 125.84615384615384)","(33.07692307692308, 126.15384615384616)"
DH,"(32.80769230769231, 126.15384615384616)","(33.07692307692308, 126.46153846153847)"
DI,"(32.80769230769231, 126.46153846153847)","(33.07692307692308, 126.76923076923077)"
DJ,"(32.80769230769231, 126.76923076923077)","(33.07692307692308, 127.07692307692308)"
DK,"(32.80769230769231, 127.07692307692308)","(33.07692307692308, 127.38461538461539)"
DL,"(32.80769230769231, 127.38461538461539)","(33.07692307692308, 127.6923076923077)"
DM,"(32.80769230769231, 127.6923076923077)","(33.07692307692308, 128.0)"
DN,"(32.80769230769231, 128.0)","(33.07692307692308, 128.30769230769232)"
DO,"(32.80769230769231, 128.30769230769232)","(33.07692307692308, 128.6153846153846)"
DP,"(32.80769230769231, 128.6153846153846)","(33.07692307692308, 128.92307692307693)"
DQ,"(32.80769230769231, 128.92307692307693)","(33.07692307692308, 129.23076923076923)"
DR,"(32.80769230769231, 129.23076923076923)","(33.07692307692308, 129.53846153846155)"
DS,"(32.80769230769231, 129.53846153846155)","(33.07692307692308, 129.84615384615384)"
DT,"(32.80769230769231, 129.84615384615384)","(33.07692307692308, 130.15384615384616)"
DU,"(32.80769230769231, 130.15384615384616)","(33.07692307692308, 130.46153846153845)"
DV,"(32.80769230769231, 130.46153846153845)","(33.07692307692308, 130.76923076923077)"
DW,"(32.80769230769231, 130.76923076923077)","(33.07692307692308, 131.07692307692307)"
DX,"(32.80769230769231, 131.07692307692307)","(33.07692307692308, 131.3846153846154)"
DY,"(32.80769230769231, 131.3846153846154)","(33.07692307692308, 131.69230769230768)"
DZ,"(32.80769230769231, 131.69230769230768)","(33.07692307692308, 132.0)"
EA,"(33.07692307692308, 124.0)","(33.34615384615385, 124.3076923076923)"
EB,"(33.07692307692308, 124.3076923076923)","(33.34615384615385, 124.61538461538461)"
EC,"(33.07692307692308, 124.61538461538461)","(33.34615384615385, 124.92307692307692)"
ED,"(33.07692307692308, 124.92307692307692)","(33.34615384615385, 125.23076923076923)"
EE,"(33.07692307692308, 125.23076923076923)","(33.34615384615385, 125.53846153846153)"
EF,"(33.07692307692308, 125.53846153846153)","(33.34615384615385, 125.84615384615384)"
EG,"(33.07692307692308, 125.84615384615384)","(33.34615384615385, 126.15384615384616)"
EH,"(33.07692307692308, 126.15384615384616)","(33.34615384615385, 126.46153846153847)"
EI,"(33.07692307692308, 126.46153846153847)","(33.34615384615385, 126.76923076923077)"
EJ,"(33.07692307692308, 126.76923076923077)","(33.34615384615385, 127.07692307692308)"
EK,"(33.07692307692308, 127.07692307692308)","(33.34615384615385, 127.38461538461539)"
